schema_version,collection_boundary,mapping_mode,requested_period_start,requested_period_end,observed_coverage_start,observed_coverage_end,as_of_date,coverage_status,rank_scope,universe_ticker_count_for_date,slot_label,rank_slot,slot_role,candidate_id,evidence_id,resolved_ticker,resolved_company_name,resolved_liquidity_rank,average_traded_value_20d,average_traded_value_window_start,average_traded_value_window_end,source_type,source_ref,market_cap_proxy,market_cap_status,market_cap_as_of_date,mapping_status,not_strategy_composition,no_feedback_check
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-02,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_high_turnover_candidate_slot,1,candidate_liquidity_rank_slot,sc_v1_3_high_turnover,ee_v1_0_rc_sc_v1_3_high_turnover_1d_5101aca49335,005930,삼성전자,1,1188233921390.0,2025-03-06,2025-04-02,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/005930_daily_prices.csv,1660343124672000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-02,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_missing_liquidity_candidate_slot,2,candidate_liquidity_rank_slot,sc_v1_3_missing_liquidity,ee_v1_0_rc_sc_v1_3_missing_liquidity_1d_189794a48a70,000660,SK하이닉스,2,603743733260.0,2025-03-06,2025-04-02,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/000660_daily_prices.csv,1408299873240000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-02,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_3,3,supplemental_liquidity_top5_context_slot,,,042660,,3,412038750390.0,2025-03-06,2025-04-02,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/042660_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-02,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_4,4,supplemental_liquidity_top5_context_slot,,,012450,,4,370446815400.0,2025-03-06,2025-04-02,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/012450_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-02,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_5,5,supplemental_liquidity_top5_context_slot,,,272210,,5,320890381272.5,2025-03-06,2025-04-02,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/272210_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-03,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_high_turnover_candidate_slot,1,candidate_liquidity_rank_slot,sc_v1_3_high_turnover,ee_v1_0_rc_sc_v1_3_high_turnover_1d_5101aca49335,005930,삼성전자,1,1211136436055.0,2025-03-07,2025-04-03,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/005930_daily_prices.csv,1660343124672000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-03,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_missing_liquidity_candidate_slot,2,candidate_liquidity_rank_slot,sc_v1_3_missing_liquidity,ee_v1_0_rc_sc_v1_3_missing_liquidity_1d_189794a48a70,000660,SK하이닉스,2,619957151350.0,2025-03-07,2025-04-03,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/000660_daily_prices.csv,1408299873240000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-03,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_3,3,supplemental_liquidity_top5_context_slot,,,042660,,3,402399370105.0,2025-03-07,2025-04-03,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/042660_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-03,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_4,4,supplemental_liquidity_top5_context_slot,,,012450,,4,365579929250.0,2025-03-07,2025-04-03,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/012450_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-03,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_5,5,supplemental_liquidity_top5_context_slot,,,272210,,5,317848187115.0,2025-03-07,2025-04-03,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/272210_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-04,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_high_turnover_candidate_slot,1,candidate_liquidity_rank_slot,sc_v1_3_high_turnover,ee_v1_0_rc_sc_v1_3_high_turnover_1d_5101aca49335,005930,삼성전자,1,1238801707430.0,2025-03-10,2025-04-04,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/005930_daily_prices.csv,1660343124672000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-04,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_missing_liquidity_candidate_slot,2,candidate_liquidity_rank_slot,sc_v1_3_missing_liquidity,ee_v1_0_rc_sc_v1_3_missing_liquidity_1d_189794a48a70,000660,SK하이닉스,2,677625650420.0,2025-03-10,2025-04-04,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/000660_daily_prices.csv,1408299873240000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-04,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_3,3,supplemental_liquidity_top5_context_slot,,,042660,,3,392860395565.0,2025-03-10,2025-04-04,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/042660_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-04,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_4,4,supplemental_liquidity_top5_context_slot,,,012450,,4,345620191900.0,2025-03-10,2025-04-04,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/012450_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-04,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_5,5,supplemental_liquidity_top5_context_slot,,,272210,,5,269255449132.5,2025-03-10,2025-04-04,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/272210_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-07,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_high_turnover_candidate_slot,1,candidate_liquidity_rank_slot,sc_v1_3_high_turnover,ee_v1_0_rc_sc_v1_3_high_turnover_1d_5101aca49335,005930,삼성전자,1,1289224052260.0,2025-03-11,2025-04-07,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/005930_daily_prices.csv,1660343124672000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-07,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_missing_liquidity_candidate_slot,2,candidate_liquidity_rank_slot,sc_v1_3_missing_liquidity,ee_v1_0_rc_sc_v1_3_missing_liquidity_1d_189794a48a70,000660,SK하이닉스,2,719611355400.0,2025-03-11,2025-04-07,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/000660_daily_prices.csv,1408299873240000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-07,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_3,3,supplemental_liquidity_top5_context_slot,,,042660,,3,384847781210.0,2025-03-11,2025-04-07,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/042660_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-07,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_4,4,supplemental_liquidity_top5_context_slot,,,012450,,4,338599988500.0,2025-03-11,2025-04-07,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/012450_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-07,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_5,5,supplemental_liquidity_top5_context_slot,,,272210,,5,236077943840.0,2025-03-11,2025-04-07,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/272210_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-08,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_high_turnover_candidate_slot,1,candidate_liquidity_rank_slot,sc_v1_3_high_turnover,ee_v1_0_rc_sc_v1_3_high_turnover_1d_5101aca49335,005930,삼성전자,1,1309978824755.0,2025-03-12,2025-04-08,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/005930_daily_prices.csv,1660343124672000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-08,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,sc_v1_3_missing_liquidity_candidate_slot,2,candidate_liquidity_rank_slot,sc_v1_3_missing_liquidity,ee_v1_0_rc_sc_v1_3_missing_liquidity_1d_189794a48a70,000660,SK하이닉스,2,728621477625.0,2025-03-12,2025-04-08,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/000660_daily_prices.csv,1408299873240000,available_from_latest_approved_snapshot,2026-05-13,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-08,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_3,3,supplemental_liquidity_top5_context_slot,,,012450,,3,344225732900.0,2025-03-12,2025-04-08,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/012450_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-08,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_4,4,supplemental_liquidity_top5_context_slot,,,042660,,4,291457563435.0,2025-03-12,2025-04-08,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/042660_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
v1_3_liquidity_top5_mapping_period.v1,evidence_only_generated_artifact_not_for_valuation_scoring_trading_or_production_ranking,rolling_rank_slot_desc_average_traded_value_20d,2025-03-31,2026-05-13,2025-03-31,2026-05-12,2025-04-08,observed_local_daily_rank_date,full_local_kospi200_daily_universe_files,309,liquidity_top5_supplemental_slot_5,5,supplemental_liquidity_top5_context_slot,,,272210,,5,223999522620.0,2025-03-12,2025-04-08,full_local_daily_price_close_times_volume_rolling_20d,data/historical_kospi200/prices/272210_daily_prices.csv,,not_collected_for_full_local_universe_rank,,dynamic_full_local_universe_top5_resolution_for_as_of_date,true,rank_uses_only_existing_local_price_volume_or_approved_snapshot_values_available_for_the_as_of_date
